id,سال میلادی,ماه میلادی عدد ,نام ماه میلادی,روز میلادی عدد ,نام روز میلادی ,سال قمری,ماه قمری عدد,نام ماه قمری,روز قمری,روز عربی ,سال شمسی,ماه شمسی,نام ماه شمسی,روز شمسی عدد,روز شمسی,تعطیل,مناسبت
39,2020,4,April,27,Monday,1441,9,رمضان,3,الأثنين,1399,2,اردبهشت,8,دوشنبه,,
40,2020,4,April,28,Tuesday,1441,9,رمضان,4,الثلاثاء,1399,2,اردبهشت,9,سه شنبه,,روز شوراها
41,2020,4,April,29,Wednesday,1441,9,رمضان,5,الأربعاء,1399,2,اردبهشت,10,چهار شنبه,,روز ملی خلیج فارس - آغاز عملیات بیت المقدس (۱۳۶۱ هـ ش)
42,2020,4,April,30,Thursday,1441,9,رمضان,6,الخميس,1399,2,اردبهشت,11,پنج شنبه,,روز جهانی کار و کارگر
43,2020,5,May,1,Friday,1441,9,رمضان,7,الجمعه,1399,2,اردبهشت,12,جمعه,تعطیل,روز معلم - شهادت استاد مرتضی مطهری (۱۳۵۸ هـ ش)
44,2020,5,May,2,Saturday,1441,9,رمضان,8,السبت,1399,2,اردبهشت,13,شنبه,,
45,2020,5,May,3,Sunday,1441,9,رمضان,9,الأحد,1399,2,اردبهشت,14,یکشنبه,,
46,2020,5,May,4,Monday,1441,9,رمضان,10,الأثنين,1399,2,اردبهشت,15,دوشنبه,,روز بزرگداشت شیخ صدوق - روز جهانی ماما - وفات حضرت خدیجه (س) (۳ سال قبل از هجرت)
47,2020,5,May,5,Tuesday,1441,9,رمضان,11,الثلاثاء,1399,2,اردبهشت,16,سه شنبه,,
48,2020,5,May,6,Wednesday,1441,9,رمضان,12,الأربعاء,1399,2,اردبهشت,17,چهار شنبه,,
49,2020,5,May,7,Thursday,1441,9,رمضان,13,الخميس,1399,2,اردبهشت,18,پنج شنبه,,روز بیماریهای خاص و صعب العلاج - روز جهانی صلیب سرخ و هلال احمر
50,2020,5,May,8,Friday,1441,9,رمضان,14,الجمعه,1399,2,اردبهشت,19,جمعه,تعطیل,روز بزرگداشت شیخ کلینی - روز اسناد ملی و میراث مکتوب
51,2020,5,May,9,Saturday,1441,9,رمضان,15,السبت,1399,2,اردبهشت,20,شنبه,,ولادت امام حسن مجتبی (ع) (۳ هـ ق)
52,2020,5,May,10,Sunday,1441,9,رمضان,16,الأحد,1399,2,اردبهشت,21,یکشنبه,,
53,2020,5,May,11,Monday,1441,9,رمضان,17,الأثنين,1399,2,اردبهشت,22,دوشنبه,,
54,2020,5,May,12,Tuesday,1441,9,رمضان,18,الثلاثاء,1399,2,اردبهشت,23,سه شنبه,, شب قدر
55,2020,5,May,13,Wednesday,1441,9,رمضان,19,الأربعاء,1399,2,اردبهشت,24,چهار شنبه,,ضربت خوردن حضرت علی (ع) (۴۰ هـ ق) - لغو امتیاز تنباکو به فتوای آیت الله میرزا حسن شیرازی (۱۲۷۰ هـ ش)
56,2020,5,May,14,Thursday,1441,9,رمضان,20,الخميس,1399,2,اردبهشت,25,پنج شنبه,,ز پاسداشت زبان فارسی و بزرگداشت حکیم ابوالقاسم فردوسی - شب قدر
57,2020,5,May,15,Friday,1441,9,رمضان,21,الجمعه,1399,2,اردبهشت,26,جمعه,تعطیل,شهادت حضرت علی (ع) (۴۰ هـ ق)
58,2020,5,May,16,Saturday,1441,9,رمضان,22,السبت,1399,2,اردبهشت,27,شنبه,,روز ارتباطات و روابط عمومی - شب قدر
59,2020,5,May,17,Sunday,1441,9,رمضان,23,الأحد,1399,2,اردبهشت,28,یکشنبه,,روز بزرگداشت حکیم عمر خیام - روز جهانی موزه و میراث فرهنگی
60,2020,5,May,18,Monday,1441,9,رمضان,24,الأثنين,1399,2,اردبهشت,29,دوشنبه,,
61,2020,5,May,19,Tuesday,1441,9,رمضان,25,الثلاثاء,1399,2,اردبهشت,30,سه شنبه,,روز ملی جمعیت
62,2020,5,May,20,Wednesday,1441,9,رمضان,26,الأربعاء,1399,2,اردبهشت,31,چهار شنبه,,روز اهدای عضو، اهدای زندگی
63,2020,5,May,21,Thursday,1441,9,رمضان,27,الخميس,1399,3,خرداد,1,پنج شنبه,,روز بهره وری و بهینه سازی مصرف - روز بزرگداشت ملاصدرا (صدرالمتألهین)
64,2020,5,May,22,Friday,1441,9,رمضان,28,الجمعه,1399,3,خرداد,2,جمعه,تعطیل,
65,2020,5,May,23,Saturday,1441,9,رمضان,29,السبت,1399,3,خرداد,3,شنبه,,فتح خرمشهر در عملیات بیت المقدس (۱۳۶۱ هـ ش) - روز مقاومت، ایثار و پیروزی
66,2020,5,May,24,Sunday,1441,10,شوال,1,الأحد,1399,3,خرداد,4,یکشنبه,تعطیل,عید سعید فطر - روز دزفول - روز مقاومت و پایداری
67,2020,5,May,25,Monday,1441,10,شوال,2,الأثنين,1399,3,خرداد,5,دوشنبه,تعطیل,تعطیل به مناسبت عید سعید فطر - روز نسیم مهر (روز حمایت از خانواده زندانیان)
68,2020,5,May,26,Tuesday,1441,10,شوال,3,الثلاثاء,1399,3,خرداد,6,سه شنبه,,
69,2020,5,May,27,Wednesday,1441,10,شوال,4,الأربعاء,1399,3,خرداد,7,چهار شنبه,,افتتاح اولین دوره مجلس شورای اسلامی (۱۳۵۹ هـ ش)
70,2020,5,May,28,Thursday,1441,10,شوال,5,الخميس,1399,3,خرداد,8,پنج شنبه,,
71,2020,5,May,29,Friday,1441,10,شوال,6,الجمعه,1399,3,خرداد,9,جمعه,تعطیل,
72,2020,5,May,30,Saturday,1441,10,شوال,7,السبت,1399,3,خرداد,10,شنبه,,روز جهانی بدون دخانیات
73,2020,5,May,31,Sunday,1441,10,شوال,8,الأحد,1399,3,خرداد,11,یکشنبه,,
74,2020,6,Jun,1,Monday,1441,10,شوال,9,الأثنين,1399,3,خرداد,12,دوشنبه,,
75,2020,6,Jun,2,Tuesday,1441,10,شوال,10,الثلاثاء,1399,3,خرداد,13,سه شنبه,,
76,2020,6,Jun,3,Wednesday,1441,10,شوال,11,الأربعاء,1399,3,خرداد,14,چهار شنبه,تعطیل,رحلت امام خمینی (۱۳۶۸ هـ ش) - انتخاب آیت الله خامنه ای به رهبری (۱۳۶۸ هـ ش)
77,2020,6,Jun,4,Thursday,1441,10,شوال,12,الخميس,1399,3,خرداد,15,پنج شنبه,تعطیل,قیام خونین ۱۵ خرداد (۱۳۴۲ هـ ش) - زندانی شدن امام خمینی به دست مأموران پهلوی (۱۳۴۲ هـ ش) - روز جهانی محیط زیست
78,2020,6,Jun,5,Friday,1441,10,شوال,13,الجمعه,1399,3,خرداد,16,جمعه,تعطیل,
79,2020,6,Jun,6,Saturday,1441,10,شوال,14,السبت,1399,3,خرداد,17,شنبه,,
80,2020,6,Jun,7,Sunday,1441,10,شوال,15,الأحد,1399,3,خرداد,18,یکشنبه,,
81,2020,6,Jun,8,Monday,1441,10,شوال,16,الأثنين,1399,3,خرداد,19,دوشنبه,,
82,2020,6,Jun,9,Tuesday,1441,10,شوال,17,الثلاثاء,1399,3,خرداد,20,سه شنبه,,روز صنایع دستی – شهادت آیت الله سعیدی (۱۳۴۹ هـ ش)
83,2020,6,Jun,10,Wednesday,1441,10,شوال,18,الأربعاء,1399,3,خرداد,21,چهار شنبه,,
84,2020,6,Jun,11,Thursday,1441,10,شوال,19,الخميس,1399,3,خرداد,22,پنج شنبه,,
85,2020,6,Jun,12,Friday,1441,10,شوال,20,الجمعه,1399,3,خرداد,23,جمعه,تعطیل,
86,2020,6,Jun,13,Saturday,1441,10,شوال,21,السبت,1399,3,خرداد,24,شنبه,,فتح اندلس به دست مسلمانان (۹۲ ‫‫هـ‬ ش)
87,2020,6,Jun,14,Sunday,1441,10,شوال,22,الأحد,1399,3,خرداد,25,یکشنبه,,
88,2020,6,Jun,15,Monday,1441,10,شوال,23,الأثنين,1399,3,خرداد,26,دوشنبه,,شهادت سربازان دلیر اسلام بخارایی، امانی، صفار هرندی و نیک نژاد (۱۳۴۴ هـ ش)
89,2020,6,Jun,16,Tuesday,1441,10,شوال,24,الثلاثاء,1399,3,خرداد,27,سه شنبه,,روز جهاد کشاورزی - تشکیل جهاد سازندگی به فرمان حضرت امام خمینی (۱۳۵۸ ‫هـ‬ ش) – روز جهانی بیابانزدایی
90,2020,6,Jun,17,Wednesday,1441,10,شوال,25,الأربعاء,1399,3,خرداد,28,چهار شنبه,تعطیل,شهادت امام جعفر صادق (ع) (۱۴۸ هـ ق)
91,2020,6,Jun,18,Thursday,1441,10,شوال,26,الخميس,1399,3,خرداد,29,پنج شنبه,,درگذشت دکتر علی شریعتی (۱۳۵۶ هـ ش)
92,2020,6,Jun,19,Friday,1441,10,شوال,27,الجمعه,1399,3,خرداد,30,جمعه,تعطیل,شهادت ‫زائران‬ حرم رضوی علیه السلام به دست ایادی امریکا (عاشورا ۱۳۷۳ ‫هـ‬ ش( 
93,2020,6,Jun,20,Saturday,1441,10,شوال,28,السبت,1399,3,خرداد,31,شنبه,,شهادت دکتر مصطفی چمران (۱۳۶۰ هـ ش) - روز بسیج استادان
94,2020,6,Jun,21,Sunday,1441,10,شوال,29,الأحد,1399,4,تیر,1,یکشنبه,,روز تبلیغ و اطلاع رسانی دینی - سالروز تاسیس سازمان تبلیغات اسلامی (۱۳۶۰ هـ ش) - روز اصناف
95,2020,6,Jun,22,Monday,1441,10,شوال,30,الأثنين,1399,4,تیر,2,دوشنبه,,
96,2020,6,Jun,23,Tuesday,1441,11,ذیقعده,1,الثلاثاء,1399,4,تیر,3,سه شنبه,,ولادت حضرت معصومه (س) (۱۷۳ هـ ق) - روز دختران
97,2020,6,Jun,24,Wednesday,1441,11,ذیقعده,2,الأربعاء,1399,4,تیر,4,چهار شنبه,,
98,2020,6,Jun,25,Thursday,1441,11,ذیقعده,3,الخميس,1399,4,تیر,5,پنج شنبه,,روز جهانی مبارزه با مواد مخدر
99,2020,6,Jun,26,Friday,1441,11,ذیقعده,4,الجمعه,1399,4,تیر,6,جمعه,تعطیل,
100,2020,6,Jun,27,Saturday,1441,11,ذیقعده,5,السبت,1399,4,تیر,7,شنبه,,شهادت آیت الله دکتر بهشتی (۱۳۶۰ هـ ش) - روز قوه قضاییه - روز بزرگداشت حضرت صالح بن موسی کاظم (ع) - روز تجلیل از امامزادگان و بقاع متبرکه
101,2020,6,Jun,28,Sunday,1441,11,ذیقعده,6,الأحد,1399,4,تیر,8,یکشنبه,,روز مبارزه با سلاحهای شیمیایی و میکروبی - روز بزرگداشت حضرت احمد بن موسی شاهچراغ (ع)
102,2020,6,Jun,29,Monday,1441,11,ذیقعده,7,الأثنين,1399,4,تیر,9,دوشنبه,,
103,2020,6,Jun,30,Tuesday,1441,11,ذیقعده,8,الثلاثاء,1399,4,تیر,10,سه شنبه,,روز فرهنگ پهلوانی و ورزش زورخانه ای - روز صنعت و معدن - روز آزادسازی شهر مهران - روز بزرگداشت صائب تبریزی
104,2020,7,Jul,1,Wednesday,1441,11,ذیقعده,9,الأربعاء,1399,4,تیر,11,چهار شنبه,,شهادت آیت الله صدوقی (۱۳۶۱ هـ ش) - روز عرفه
105,2020,7,Jul,2,Thursday,1441,11,ذیقعده,10,الخميس,1399,4,تیر,12,پنج شنبه,,حمله ناوگان آمریکا به هواپیمای مسافربری جمهوری اسلامی ایران (۱۳۶۷ هـ ش) - روز افشای حقوق بشر آمریکایی - روز بزرگداشت علامه امینی (۱۳۴۹ هـ ش)
106,2020,7,Jul,3,Friday,1441,11,ذیقعده,11,الجمعه,1399,4,تیر,13,جمعه,تعطیل,ولادت حضرت امام رضا علی السلام (۱۴۸ ‫هـ ق)
107,2020,7,Jul,4,Saturday,1441,11,ذیقعده,12,السبت,1399,4,تیر,14,شنبه,,روز قلم - روز شهرداری و دهیاری
